title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Exorcist: The Beginning",movie,"Horror, Mystery, Thriller",2004,tt0204313,5.1,41159,
"The Notebook",movie,"Drama, Romance",2004,tt0332280,7.8,659173,
"Terms of Endearment",movie,"Comedy, Drama",1983,tt0086425,7.4,68499,
"Yu-Gi-Oh!: The Movie",movie,"Action, Adventure, Animation",2004,tt0403703,5,9387,
Godsend,movie,"Action, Drama, Fantasy",2004,tt0335121,4.8,26988,
"Major League II",movie,"Comedy, Sport",1994,tt0110442,5.6,29116,
"Problem Child",movie,"Comedy, Family",1990,tt0100419,5.5,34445,
"National Security",movie,"Action, Comedy, Crime",2003,tt0271668,5.6,56498,
"Taking Lives",movie,"Crime, Mystery, Thriller",2004,tt0364045,6.2,99237,
"The Seventh Sign",movie,"Drama, Fantasy, Horror",1988,tt0096073,5.8,16304,
"The Animal",movie,"Comedy, Sci-Fi",2001,tt0255798,4.9,65996,
"Riding in Cars with Boys",movie,"Biography, Comedy, Drama",2001,tt0200027,6.5,31287,
"Chungking Express",movie,"Comedy, Crime, Drama",1994,tt0109424,7.9,104662,
"Vera Drake",movie,"Crime, Drama",2004,tt0383694,7.6,27949,
"Sweet Mud",movie,Drama,2006,tt0498846,7.1,788,
Supercop,movie,"Action, Comedy, Crime",1992,tt0104558,7,25684,
"The Prince and Me",movie,"Comedy, Family, Romance",2004,tt0337697,5.9,42941,
XXY,movie,"Drama, Romance",2007,tt0995829,7,15282,
"The Ruins",movie,"Adventure, Horror, Thriller",2008,tt0963794,5.9,88145,
"Coco Before Chanel",movie,"Biography, Drama",2009,tt1035736,6.6,43035,
"Mother's Elling",movie,"Comedy, Drama",2003,tt0368045,6,2826,
"Go Trabi Go 2 - Those Were the Days of the Wild East",movie,Comedy,1992,tt0104349,4.6,559,
"We Are Marshall",movie,"Drama, Sport",2006,tt0758794,7.1,66542,
"French Fried Vacation",movie,"Comedy, Romance",1978,tt0077276,6.7,8130,
"See No Evil, Hear No Evil",movie,"Comedy, Crime",1989,tt0098282,6.8,61725,
"Child's Play 2",movie,"Horror, Thriller",1990,tt0099253,6,61560,
"Child's Play 3",movie,"Horror, Thriller",1991,tt0103956,5.2,49226,
"Touching the Void",movie,"Adventure, Documentary, Drama",2003,tt0379557,7.9,39177,
Evil,movie,Drama,2003,tt0338309,7.7,43674,
"City Hunter",movie,"Action, Comedy, Crime",1993,tt0103950,6.3,13175,
"Wheels on Meals",movie,"Action, Comedy, Crime",1984,tt0087578,7,16305,
"Robinson Crusoe",movie,"Adventure, Drama",1997,tt0117496,6,13920,
"Fallen Angels",movie,"Comedy, Crime, Drama",1995,tt0112913,7.5,56636,
"The Next Karate Kid",movie,"Action, Drama, Family",1994,tt0110657,4.6,36415,
"Kate & Leopold",movie,"Comedy, Fantasy, Romance",2001,tt0035423,6.4,92061,
"The Secret Garden",movie,"Drama, Family, Fantasy",1993,tt0108071,7.3,46952,
"Anacondas: The Hunt for the Blood Orchid",movie,"Action, Adventure, Horror",2004,tt0366174,4.7,35629,
"A Cinderella Story",movie,"Comedy, Family, Romance",2004,tt0356470,5.9,98337,
"Halloween II",movie,Horror,1981,tt0082495,6.5,107490,
"Harold & Kumar Go to White Castle",movie,"Adventure, Comedy",2004,tt0366551,7,212226,
"Nanny McPhee",movie,"Comedy, Family, Fantasy",2005,tt0396752,6.6,89080,
"Save the Green Planet!",movie,"Comedy, Crime, Drama",2003,tt0354668,7.2,9218,
"Deep in the Woods",movie,"Horror, Thriller",2000,tt0236638,4.1,2903,
"Mystery Train",movie,"Comedy, Crime, Drama",1989,tt0097940,7.5,32098,
"My Girl 2",movie,"Comedy, Drama, Family",1994,tt0110613,5.3,21690,
"Seven Pounds",movie,"Drama, Mystery, Thriller",2008,tt0814314,7.6,321451,
"Public Enemies",movie,"Biography, Crime, Drama",2009,tt1152836,6.9,329459,
"The Informant!",movie,"Biography, Comedy, Crime",2009,tt1130080,6.5,68898,
"Shutter Island",movie,"Drama, Mystery, Thriller",2010,tt1130884,8.2,1559497,
"Midnight Express",movie,"Biography, Crime, Drama",1978,tt0077928,7.5,91599,
"Runaway Jury",movie,"Crime, Drama, Thriller",2003,tt0313542,7.1,116415,
"Super Fuzz",movie,"Action, Comedy, Fantasy",1980,tt0082924,6.3,8726,
"A Bittersweet Life",movie,"Action, Crime, Drama",2005,tt0456912,7.5,45225,
Fragile,movie,"Horror, Mystery, Thriller",2005,tt0422272,6,18081,
"Odds and Evens",movie,"Action, Comedy, Crime",1978,tt0078058,7.1,10672,
"The Score",movie,"Crime, Drama, Thriller",2001,tt0227445,6.8,140128,
"Hollywood Homicide",movie,"Action, Comedy, Crime",2003,tt0329717,5.3,40614,
"The Natural",movie,"Drama, Sport",1984,tt0087781,7.4,54458,
"Not Another Teen Movie",movie,Comedy,2001,tt0277371,5.8,121923,
"The Art of War",movie,"Action, Adventure, Crime",2000,tt0160009,5.7,31705,
"Look at Me",movie,"Comedy, Drama, Music",2004,tt0374583,6.8,5565,
"The New World",movie,"Biography, Drama, History",2005,tt0402399,6.7,92300,
"The Belles of St. Trinian's",movie,"Comedy, Family, Romance",1954,tt0046766,6.7,3047,
C.R.A.Z.Y.,movie,"Comedy, Drama",2005,tt0401085,7.8,34766,
Midway,movie,"Action, Drama, History",1976,tt0074899,6.8,22513,
"Memories of Murder",movie,"Crime, Drama, Mystery",2003,tt0353969,8.1,244569,
"Deuce Bigalow: European Gigolo",movie,Comedy,2005,tt0367652,4.7,54865,
"Red Eye",movie,Thriller,2005,tt0421239,6.4,156767,
"Slim Susie",movie,"Comedy, Crime, Mystery",2003,tt0323998,6.9,10792,
"America's Sweethearts",movie,"Comedy, Romance",2001,tt0265029,5.7,62004,
"Black Knight",movie,"Adventure, Comedy, Fantasy",2001,tt0265087,4.9,44865,
"A Better Tomorrow",movie,"Action, Crime, Drama",1986,tt0092263,7.4,26883,
"Leningrad Cowboys Go America",movie,"Comedy, Music",1989,tt0097728,7,9092,
"Mama, There's a Man in Your Bed",movie,"Comedy, Romance",1989,tt0098220,6.8,1926,
"They Call Me Renegade",movie,"Action, Adventure, Comedy",1987,tt0095975,6.2,3402,
"The Silence",movie,Drama,1963,tt0057611,7.7,22095,
Silverado,movie,"Action, Drama, Western",1985,tt0090022,7.2,52408,
"Pretty in Pink",movie,"Comedy, Drama, Romance",1986,tt0091790,6.7,92720,
"Jason and the Argonauts",movie,"Action, Adventure, Family",1963,tt0057197,7.3,32917,
"Big Momma's House 2",movie,"Comedy, Crime",2006,tt0421729,4.8,48101,
"Kaena: The Prophecy",movie,"Adventure, Animation, Family",2003,tt0297753,6,4286,
"The Exorcist III",movie,"Drama, Horror, Mystery",1990,tt0099528,6.5,41470,
"Slap Shot",movie,"Comedy, Drama, Sport",1977,tt0076723,7.2,43632,
"Through a Glass Darkly",movie,Drama,1961,tt0055499,7.9,28563,
"Even Angels Eat Beans",movie,"Action, Comedy, Crime",1973,tt0069713,6.2,3526,
"Go for It",movie,"Action, Adventure, Comedy",1983,tt0085601,7.1,11639,
"Flushed Away",movie,"Action, Adventure, Animation",2006,tt0424095,6.6,145156,
"Porco Rosso",movie,"Adventure, Animation, Comedy",1992,tt0104652,7.7,110518,
"Blast from the Past",movie,"Comedy, Drama, Romance",1999,tt0124298,6.7,74694,
"Show Me Love",movie,"Comedy, Drama, Romance",1998,tt0150662,7.5,56984,
"Old School",movie,Comedy,2003,tt0302886,7,251360,
"New Police Story",movie,"Action, Crime, Thriller",2004,tt0386005,6.9,30162,
"Are We There Yet?",movie,"Adventure, Comedy, Family",2005,tt0368578,4.8,35878,
"Infernal Affairs II",movie,"Action, Crime, Drama",2003,tt0369060,7.2,20584,
"Hui Buh: Das Schlossgespenst",movie,"Adventure, Animation, Comedy",2006,tt0428646,4.8,3403,
"The Myth",movie,"Action, Adventure, Comedy",2005,tt0365847,6.1,16919,
"The Virgin Spring",movie,Drama,1960,tt0053976,8,32939,
"Le cercle rouge",movie,"Crime, Drama, Thriller",1970,tt0065531,7.9,30442,
"Get Smart",movie,"Action, Adventure, Comedy",2008,tt0425061,6.5,233788,
"xXx: State of the Union",movie,"Action, Adventure, Crime",2005,tt0329774,4.5,75369,
"The Miser",movie,Comedy,1980,tt0078813,6.6,5476,
"Crime Busters",movie,"Action, Adventure, Comedy",1977,tt0074442,7.1,13596,
"Go Trabi Go",movie,Comedy,1991,tt0101960,6,1757,
"Smiles of a Summer Night",movie,"Comedy, Romance",1955,tt0048641,7.7,15267,
"Shaolin Soccer",movie,"Action, Comedy, Fantasy",2001,tt0286112,7.3,93680,
"Fright Night",movie,Horror,1985,tt0089175,7,84632,
"Space Chimps",movie,"Adventure, Animation, Comedy",2008,tt0482603,4.5,13022,
